Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_NEGLIGIBLE_RISK_COUNT		12
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_LOW_RISK_LOC		58
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_LOW_RISK_PERCENTAGE		32.04
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_LOW_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_NEGLIGIBLE_RISK_LOC		124
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_NEGLIGIBLE_RISK_COUNT		17
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_NEGLIGIBLE_RISK_LOC		19
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_NEGLIGIBLE_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_LOW_RISK_COUNT		0
